title,plays,duration,release_date,isrc,source
Agapi Ypervoliki - 2023 Version,667383,3:23,2022-12-23,,MusicMetricsVault.com
Aftos Pou Perimeno,661345,2:29,1993-06-01,,MusicMetricsVault.com
Fabulous,654515,2:59,2009-11-16,,MusicMetricsVault.com
Pragmata - Hotel Ermou Live Version,638608,3:55,2018-07-23,,MusicMetricsVault.com
Treno - Live Version,635642,5:30,2005-01-27,,MusicMetricsVault.com
Agapoula Mou,618799,3:28,2000-11-16,,MusicMetricsVault.com
Mavra Gialia,610759,4:29,1997-04-16,,MusicMetricsVault.com
Ola Ta Lefta - Hotel Ermou Live Lounge Version,609676,3:13,2018-07-23,,MusicMetricsVault.com
Kravgi Hit Mix,597151,4:49,2000-11-16,,MusicMetricsVault.com
Kalokairina Filia,555791,4:00,2017-05-08,,MusicMetricsVault.com
Labo,527551,4:18,1992-12-24,,MusicMetricsVault.com
Nylon,521480,4:57,2005-09-26,,MusicMetricsVault.com
Gia Teleftea Fora,510013,4:41,2005-09-26,,MusicMetricsVault.com
Parte Ta Ola,506804,4:12,1996-02-29,,MusicMetricsVault.com
Apodixis,503213,2:46,1986-04-22,,MusicMetricsVault.com
Den S'Allazo,502155,2:21,1988-06-23,,MusicMetricsVault.com
Min Psahnis Tin Agapi,494614,4:58,2003-12-04,,MusicMetricsVault.com
Trelenome,490260,3:55,1996-02-29,,MusicMetricsVault.com
Ase Tous Erotes,475136,4:29,2015-11-30,,MusicMetricsVault.com
Agapi Ine,471533,4:08,2005-09-26,,MusicMetricsVault.com
Antistrofi Metrisi - Hotel Ermou Live Version,458169,2:56,2018-07-23,,MusicMetricsVault.com
Magiko Hali,440154,5:11,1988-06-23,,MusicMetricsVault.com
Methysmeni Mou Kardia - Hotel Ermou Live Version,430350,2:39,2018-07-23,,MusicMetricsVault.com
Den Einai Psema,426992,4:11,2019-01-17,,MusicMetricsVault.com
Atmosfera Ilektrismeni - Live,418942,4:27,2021-02-15,,MusicMetricsVault.com
Erotevmenaki - Live Version,417606,0:32,2005-01-27,,MusicMetricsVault.com
Kalimera Kenourgia Mou Agapi - Live Version,414674,0:32,1984-03-14,,MusicMetricsVault.com
Kanenas,411916,4:24,2005-09-26,,MusicMetricsVault.com
Kalimera Kenourgia Mou Agapi - Mixed,411259,0:30,2005-11-09,,MusicMetricsVault.com
Hronia Polla,399581,3:23,2002-10-03,,MusicMetricsVault.com
To Apolyto Keno - Hotel Ermou Live Version,398802,4:24,2018-07-23,,MusicMetricsVault.com
Alitissa Psihi,397795,4:31,2008-12-09,,MusicMetricsVault.com
Metra,388503,5:17,1995-07-28,,MusicMetricsVault.com
Iliotropia,387947,4:26,2019-05-27,,MusicMetricsVault.com
Atmosfaira - Hotel Ermou Live Version,383683,2:58,2018-07-23,,MusicMetricsVault.com
Logia Kai Siopes - Hotel Ermou Live Version,381082,5:15,2018-07-23,,MusicMetricsVault.com
Loulaki,378683,5:15,2021-03-19,,MusicMetricsVault.com
Ebnefsi,376352,3:22,1989-03-24,,MusicMetricsVault.com
Ena Sou Leo - Hotel Ermou Live Version,373574,4:03,2018-07-23,,MusicMetricsVault.com
Apagorevmeno,368038,4:20,2008-12-09,,MusicMetricsVault.com
Kravgi - Hotel Ermou Live Version,366538,2:19,2018-07-23,,MusicMetricsVault.com
Me Mia Signomi,352197,3:31,2003-12-04,,MusicMetricsVault.com
Erotevmenaki - Hotel Ermou Live Acapella Version,351172,1:44,2018-07-23,,MusicMetricsVault.com
Methismeni Politia,346130,3:36,1993-06-01,,MusicMetricsVault.com
To Megalitero Souxe,339829,3:12,1997-04-16,,MusicMetricsVault.com
Supernatural Love,337647,3:04,2000-06-13,,MusicMetricsVault.com
Call Me - Original Version,336292,4:21,2007-07-30,,MusicMetricsVault.com
Osoi Agapane Den Pethainoune,335655,4:41,2019-06-03,,MusicMetricsVault.com
Klima Tropiko - Hotel Ermou Live Version,328281,3:60,2018-07-23,,MusicMetricsVault.com
De Me Agapas - Hotel Ermou Live Version,327006,4:08,2018-07-23,,MusicMetricsVault.com
Schizofreneia - Hotel Ermou Live Version,325022,3:01,2018-07-23,,MusicMetricsVault.com
Apolito Keno,324167,5:01,1997-04-16,,MusicMetricsVault.com
Oasi,321450,4:19,2010-12-24,,MusicMetricsVault.com
Ekatommyria - Hotel Ermou Live Version,319118,1:35,2018-07-23,,MusicMetricsVault.com
S' Agapo M' Agapas - Live,318594,0:36,2021-02-15,,MusicMetricsVault.com
Meta Apo Sena Esy,316573,4:52,2019-06-03,,MusicMetricsVault.com
Afti Ti Fora,311414,6:16,2000-11-16,,MusicMetricsVault.com
Sta 'Dosa Ola - Live,304764,2:02,2021-02-15,,MusicMetricsVault.com
Antidoto,304606,4:41,1998-04-01,,MusicMetricsVault.com
Paralyo - Hotel Ermou Live Version,304575,6:59,2018-07-23,,MusicMetricsVault.com
Paralio,304153,5:20,1996-02-29,,MusicMetricsVault.com
Gia Teleftaia Fora - Hotel Ermou Live Acoustic Version,303318,2:34,2018-07-23,,MusicMetricsVault.com
Methismeni Mou Kardia,301393,3:52,1998-04-01,,MusicMetricsVault.com
Ta Mathitika Hronia,300514,6:52,1988-06-23,,MusicMetricsVault.com
Tora - Hotel Ermou Live Version,297333,2:47,2018-07-23,,MusicMetricsVault.com
Re - Hotel Ermou Live Version,292477,3:55,2018-07-23,,MusicMetricsVault.com
Synentefxi - Hotel Ermou Live Version,286326,4:37,2018-07-23,,MusicMetricsVault.com
Ego Moro Mou,286266,3:54,2003-12-04,,MusicMetricsVault.com
Gazi,283609,5:08,1998-04-01,,MusicMetricsVault.com
S' Agapo M' Agapas,282349,3:52,1996-02-29,,MusicMetricsVault.com
Erota I Polemo (with Nikos Vourliotis),278845,4:17,2005-09-26,,MusicMetricsVault.com
De Me Agapas - Live,277960,0:48,2021-02-15,,MusicMetricsVault.com
Me Agapi Apo Mena Gia Sena,272884,2:30,1986-04-22,,MusicMetricsVault.com
Gia Ena Lepto,271087,4:02,2008-12-09,,MusicMetricsVault.com
Gia Sena - Hotel Ermou Live Version,267167,4:51,2018-07-23,,MusicMetricsVault.com
Kaka Pedia - Live Version,266425,0:36,2005-01-27,,MusicMetricsVault.com
Xana Mana - Hotel Ermou Live Version,266191,5:07,2018-07-23,,MusicMetricsVault.com
Kaka Paidia - Hotel Ermou Live Version,264642,2:39,2018-07-23,,MusicMetricsVault.com
Kalytera Moni - Hotel Ermou Live Version,264034,4:02,2018-07-23,,MusicMetricsVault.com
Boom Boom Boom,260857,4:25,2019-01-17,,MusicMetricsVault.com
Siga!,259225,3:25,1997-04-16,,MusicMetricsVault.com
Dodeka - Hotel Ermou Live Version,258860,7:04,2018-07-23,,MusicMetricsVault.com
Pseftika,256984,4:08,1989-12-07,,MusicMetricsVault.com
Oso Eho Foni - Live Version,255964,1:08,1984-03-14,,MusicMetricsVault.com
Kanenas - Hotel Ermou Live Version,254342,3:56,2018-07-23,,MusicMetricsVault.com
Vaterlo - Live Version,250572,4:03,2005-01-27,,MusicMetricsVault.com
Gia Sena,248047,5:04,2015-10-18,,MusicMetricsVault.com
Martirio,246201,5:38,2002-10-03,,MusicMetricsVault.com
Fevgo - Extended Live Version,245225,2:07,2005-01-27,,MusicMetricsVault.com
San Kai Mena Kamia - Hotel Ermou Live Version,245175,3:06,2018-07-23,,MusicMetricsVault.com
Min Psachneis Tin Agapi - Hotel Ermou Live Version,242160,5:30,2018-07-23,,MusicMetricsVault.com
Kalokeria Ke Himones - Live Version,238294,0:38,2005-01-27,,MusicMetricsVault.com
Kalimera Kainourgia Mou Agapi - Hotel Ermou Live Version,232313,0:54,2018-07-23,,MusicMetricsVault.com
De Thelo Na Xereis - Hotel Ermou Live Version,231858,4:26,2018-07-23,,MusicMetricsVault.com
Travma - Hotel Ermou Live Version,229598,4:55,2018-07-23,,MusicMetricsVault.com
Ena Hrono To Perisotero,229326,5:05,1984-03-14,,MusicMetricsVault.com
Flegomenos Trohos,228802,5:42,2019-06-03,,MusicMetricsVault.com
Ta Mathitika Ta Chronia - Hotel Ermou Live Version,226140,3:07,2018-07-23,,MusicMetricsVault.com
Ena Sou Leo,220504,3:60,1991-02-07,,MusicMetricsVault.com
Re!,220210,5:07,1995-09-18,,MusicMetricsVault.com
Eprepe - Hotel Ermou Live Version,217589,2:14,2018-07-23,,MusicMetricsVault.com
Mia Fora Monaha Ftani - Live Version,215350,0:33,2005-01-27,,MusicMetricsVault.com
Vre Kouto,213351,3:51,2019-01-17,,MusicMetricsVault.com
Ke Ti Egine,212994,4:19,1996-02-29,,MusicMetricsVault.com
Horis Dekara - Live Version,212499,0:31,2005-01-27,,MusicMetricsVault.com
Magava Tout (Thelo Esena),211845,4:36,1998-04-01,,MusicMetricsVault.com
Kalokairines Diakopes,207856,3:34,2025-08-01,,MusicMetricsVault.com
Atmosfera Ilektrismeni - Live Version,206669,2:42,2005-01-27,,MusicMetricsVault.com
Ti Na Thimitho Ti Na Xehaso - Live Version,204538,0:32,2005-01-27,,MusicMetricsVault.com
Ntrepomai - Hotel Ermou Live Version,203620,2:30,2018-07-23,,MusicMetricsVault.com
Moni Mou - Hotel Ermou Live Version,202598,2:20,2018-07-23,,MusicMetricsVault.com
Epilogi Mou,199351,4:07,2000-11-16,,MusicMetricsVault.com
Sigharitiria - Live Version,199321,2:31,2005-01-27,,MusicMetricsVault.com
Vre Kouto (with Anna Vissi),198810,3:48,2002-11-12,,MusicMetricsVault.com
Kypseli - Hotel Ermou Live Version,197624,3:48,2018-07-23,,MusicMetricsVault.com
Horis To Moro Mou / Waterloo - Hotel Ermou Live Medley Version,196400,3:48,2018-07-23,,MusicMetricsVault.com
Me Mia Signomi - Live Version,196231,1:42,2005-01-27,,MusicMetricsVault.com
O Antras Tis Zois Mou,195266,3:27,2003-12-04,,MusicMetricsVault.com
Fevgo,193752,4:20,2003-12-04,,MusicMetricsVault.com
San Ke Mena Kamia,193573,2:42,1985-01-10,,MusicMetricsVault.com
To Parelthon Mou,193315,3:34,2008-10-30,,MusicMetricsVault.com
Sadismos,192066,5:22,2000-11-16,,MusicMetricsVault.com
S Eho Epithymisei - Hotel Ermou Live Version,189495,1:44,2018-07-23,,MusicMetricsVault.com
Me Agapi Anna - Hotel Ermou Live Version,189103,2:57,2018-07-23,,MusicMetricsVault.com
Akoma Mia,188807,4:51,1992-12-24,,MusicMetricsVault.com
Ola Ta Lefta - Hotel Ermou Live Version,188390,1:11,2018-07-23,,MusicMetricsVault.com
Na Sai Kala - Hotel Ermou Live Version,181651,2:59,2018-07-23,,MusicMetricsVault.com
Se Skeftomai Syneheia - Hotel Ermou Live Version,180474,3:48,2018-07-23,,MusicMetricsVault.com
Mou Anikis,178276,4:18,1998-04-01,,MusicMetricsVault.com
Pragmata,176143,3:31,2014-06-10,,MusicMetricsVault.com
Magava Tout - Hotel Ermou Live Version,175050,5:26,2018-07-23,,MusicMetricsVault.com
Antidoto - Hotel Ermou Live Version,174391,3:05,2018-07-23,,MusicMetricsVault.com
