title,plays,duration,release_date,isrc,source
Kalokerines Diakopes Gia Panta (Paleo Faliro) - Live Version,63352,1:57,1984-03-14,,MusicMetricsVault.com
Ise - Live Version,62948,1:01,1984-03-14,,MusicMetricsVault.com
Methismeni Politia - Live Version,62896,2:03,1984-03-14,,MusicMetricsVault.com
Mes Tis Polis To Hamam (To Haremi Sto Hamam) - Live Version,61123,0:41,2005-01-27,,MusicMetricsVault.com
Paramithi Xehasmeno,60852,2:46,1975-04-08,,MusicMetricsVault.com
Kopike I Grammi,60779,4:01,2000-11-16,,MusicMetricsVault.com
Ma Ti Leo - Live Version,60764,0:38,2005-01-27,,MusicMetricsVault.com
Gia Ena Oneiro Zoume,59948,4:05,2025-01-01,,MusicMetricsVault.com
Oti Thes Ego,59846,3:08,1992-12-24,,MusicMetricsVault.com
Skepasto,59455,2:24,1986-04-22,,MusicMetricsVault.com
Pio Konta,59336,5:25,2008-12-09,,MusicMetricsVault.com
Mes Tis Polis To Hamam (To Haremi Sto Hamam) - Live Version,59202,0:55,2005-01-27,,MusicMetricsVault.com
Kitrino Galazio,59107,2:22,1993-06-01,,MusicMetricsVault.com
Fevgo - Live Version,58071,1:15,2005-01-27,,MusicMetricsVault.com
Dromos,57964,4:48,1986-04-22,,MusicMetricsVault.com
Horista,57628,4:17,2015-11-30,,MusicMetricsVault.com
Metallo,57427,3:49,2008-12-09,,MusicMetricsVault.com
Methismeni Politia,57056,3:41,2025-01-01,,MusicMetricsVault.com
Fos,56873,4:11,1991-02-07,,MusicMetricsVault.com
Den Einai Psema - Extended Version,56528,4:38,2012-10-12,,MusicMetricsVault.com
Thelo Mia Agapi,56340,4:02,2008-12-09,,MusicMetricsVault.com
Ime,56334,4:28,1991-02-07,,MusicMetricsVault.com
O Ponos Tis Agapis,56089,5:33,1998-04-01,,MusicMetricsVault.com
Sta Evdomida Enea,55932,2:24,1984-03-14,,MusicMetricsVault.com
Ama Thes Na Klapsis Klapse - Live Version,55884,1:18,2005-01-27,,MusicMetricsVault.com
Etsi Mono Axizi,55882,4:30,2010-11-08,,MusicMetricsVault.com
Ine Kati Stigmes,55677,2:43,1993-06-01,,MusicMetricsVault.com
Oti Arhizi Oreo - Live Version,55430,0:36,2005-01-27,,MusicMetricsVault.com
Arketa,55428,2:54,1984-03-14,,MusicMetricsVault.com
Veranta,55274,5:26,2015-11-30,,MusicMetricsVault.com
File Mou - Live Version,55178,0:44,2005-01-27,,MusicMetricsVault.com
Dodeka,54758,6:51,2025-01-01,,MusicMetricsVault.com
Eroteumenaki / Agapi Einai,54352,5:47,2025-01-01,,MusicMetricsVault.com
To Xero Tha 'Rthis Xana (Woman In Love) - Remastered,53907,4:01,2006-03-25,,MusicMetricsVault.com
To Xero Tha 'rthis Xana (Woman In Love),53907,3:60,1993-06-01,,MusicMetricsVault.com
Ego Moro Mou - Live Version,53699,0:41,2005-01-27,,MusicMetricsVault.com
Empneusi,53683,2:34,2025-01-01,,MusicMetricsVault.com
Tromagmeno Mou,52942,3:11,2020-09-21,,MusicMetricsVault.com
Gi' Alla,52345,4:32,1998-04-01,,MusicMetricsVault.com
Eleftheri Ptosi,52326,5:40,2019-06-03,,MusicMetricsVault.com
Allimono Allimono - Live Version,52047,0:55,2005-01-27,,MusicMetricsVault.com
Denome - Live Version,51882,0:52,2005-01-27,,MusicMetricsVault.com
Diladi,51605,4:11,2019-06-03,,MusicMetricsVault.com
Denome,51328,4:08,1998-04-01,,MusicMetricsVault.com
Ki Omos Den Teleionei - Themis Georgantas & Mr. SPa Remix,51218,3:55,2021-08-02,,MusicMetricsVault.com
Demones,50928,4:01,2025-01-01,,MusicMetricsVault.com
Tifli Ebistosini,50600,4:39,2002-10-03,,MusicMetricsVault.com
Tifli Ebistosini - Live Version,50267,0:46,2005-01-27,,MusicMetricsVault.com
Ta Koritsia Ine Atakta,50063,3:04,1988-06-23,,MusicMetricsVault.com
Axize,49703,3:46,1992-05-28,,MusicMetricsVault.com
I Kathimerinotita Mas,49215,4:25,2013-12-02,,MusicMetricsVault.com
Epomeni Kinisi,49129,5:03,1986-04-22,,MusicMetricsVault.com
Tis Psyhis Ta Antisomata,49123,4:15,2015-11-30,,MusicMetricsVault.com
Me Niazi,48996,4:38,1997-04-16,,MusicMetricsVault.com
Den S'Allazo - Live,48810,1:34,1993-12-17,,MusicMetricsVault.com
To Apolyto Keno - 2015 Version,48576,4:38,2015-09-21,,MusicMetricsVault.com
Oue Ki' Allimono,48540,3:46,1989-12-07,,MusicMetricsVault.com
Re !,48506,4:47,2025-01-01,,MusicMetricsVault.com
Ahoristoi - Give In to Me,48246,3:17,2015-11-30,,MusicMetricsVault.com
To Giasemi,48081,4:04,2025-01-01,,MusicMetricsVault.com
Se Zilevo,47939,4:37,2002-10-03,,MusicMetricsVault.com
Tou Agoriou Apenadi - Live,47931,1:54,1993-12-17,,MusicMetricsVault.com
Siko Katse - Live Version,47592,0:41,2005-01-27,,MusicMetricsVault.com
Logia Kai Siopes,47373,5:02,2025-01-01,,MusicMetricsVault.com
Everything I Am,47352,3:16,2000-06-13,,MusicMetricsVault.com
Mi Mou Les,47343,4:01,2000-11-16,,MusicMetricsVault.com
Pes Mou Nai,46799,4:25,2019-06-03,,MusicMetricsVault.com
Gia Teleutaia Fora,46271,6:04,2025-01-01,,MusicMetricsVault.com
Ksana Mana,46158,5:04,2025-01-01,,MusicMetricsVault.com
Balomataki,45994,2:60,1989-12-07,,MusicMetricsVault.com
Toumpa,45980,3:26,2015-11-30,,MusicMetricsVault.com
Pali Gia Sena,45877,4:11,1998-04-01,,MusicMetricsVault.com
As Kanoume Apopse Mian Arhi,45563,3:47,1993-06-01,,MusicMetricsVault.com
De Thelo Na Ksereis,45475,5:41,2025-01-01,,MusicMetricsVault.com
Otan Kanoume Erota,45288,4:16,1986-04-22,,MusicMetricsVault.com
Xanagirisa,44778,3:11,1989-12-07,,MusicMetricsVault.com
Xafnika,44724,4:27,2003-12-04,,MusicMetricsVault.com
Ta Lefta,44399,5:10,2019-06-03,,MusicMetricsVault.com
Thathela Kapoios Na M' Eroteftei,44364,4:54,2019-06-03,,MusicMetricsVault.com
Ise - Produigal Remix,44323,6:28,2003-12-04,,MusicMetricsVault.com
Se Thimame,44226,3:43,1997-04-16,,MusicMetricsVault.com
Mesa Mou - Dance Version,44036,4:03,2019-06-03,,MusicMetricsVault.com
Mavri Vrohi,43013,5:13,2019-06-03,,MusicMetricsVault.com
Krivame Tin Agapi Mas,42837,3:10,2025-01-01,,MusicMetricsVault.com
Me Halai,41953,3:12,1997-04-16,,MusicMetricsVault.com
O Dromos,41725,4:49,2025-01-01,,MusicMetricsVault.com
Gia Ola Ftei O Theos,41550,4:40,2010-12-24,,MusicMetricsVault.com
Eleni,41528,4:22,2025-01-01,,MusicMetricsVault.com
Nea Filadelfia,41441,3:05,2003-12-04,,MusicMetricsVault.com
Kinoumeni Ammos,41281,4:51,2005-09-26,,MusicMetricsVault.com
Aftoshediasmos - Live Version,40631,2:57,2005-01-27,,MusicMetricsVault.com
Ta Mathitika Xronia,40300,6:17,2025-01-01,,MusicMetricsVault.com
Dihasmeno Kormi,40069,4:14,1996-02-29,,MusicMetricsVault.com
Who Cares About Love,40068,3:05,2006-04-27,,MusicMetricsVault.com
I Vraka,39898,3:45,1995-07-20,,MusicMetricsVault.com
I Diadilosi,39862,5:58,2025-01-01,,MusicMetricsVault.com
Xronia Polla - Live,39124,2:30,2021-12-23,,MusicMetricsVault.com
Telios Erotas,38941,2:09,1989-12-07,,MusicMetricsVault.com
Min Psaxneis Tin Agapi,38912,5:38,2025-01-01,,MusicMetricsVault.com
Xehase Me (La Boheme),38683,3:06,2006-04-17,,MusicMetricsVault.com
Demones - Live,38641,3:43,1993-12-17,,MusicMetricsVault.com
Velos,38266,3:22,2003-12-04,,MusicMetricsVault.com
Sta Krifa,38224,4:48,2010-12-24,,MusicMetricsVault.com
Tha Borousa,38087,3:34,2006-04-17,,MusicMetricsVault.com
Moro Mou (No Tomorrow),37973,3:17,2000-06-13,,MusicMetricsVault.com
Why Why,37543,4:38,1985-01-01,,MusicMetricsVault.com
Fteo,37446,3:41,1992-05-28,,MusicMetricsVault.com
Venetia,37147,5:50,2005-09-26,,MusicMetricsVault.com
To Giasemi,36912,4:13,1995-07-20,,MusicMetricsVault.com
Pai Teliose,36757,4:24,2002-10-03,,MusicMetricsVault.com
Paralio,36270,7:43,2025-01-01,,MusicMetricsVault.com
Tha Borousa,36019,3:41,1993-06-01,,MusicMetricsVault.com
Pseftika - Live,35701,5:29,1993-12-17,,MusicMetricsVault.com
Den Thelo Na Xeris - Live,35596,5:05,1993-12-17,,MusicMetricsVault.com
Kaliteres Meres - Radio Edit,35360,4:12,2014-04-14,,MusicMetricsVault.com
Se Hriazome,35188,4:34,1992-12-24,,MusicMetricsVault.com
Apati,35116,3:04,2013-02-14,,MusicMetricsVault.com
Kapnizo - Remix,34590,5:24,2000-11-16,,MusicMetricsVault.com
Distihima,34407,4:15,2005-09-26,,MusicMetricsVault.com
Venzini,33868,3:59,2012-08-31,,MusicMetricsVault.com
Agoni Grammi,33794,4:14,1996-02-29,,MusicMetricsVault.com
Venetia,33666,5:02,2025-01-01,,MusicMetricsVault.com
Mono An Trelatho,33400,4:03,2011-12-19,,MusicMetricsVault.com
Vampir,33281,4:09,2010-12-24,,MusicMetricsVault.com
Lampo,32847,4:59,2025-01-01,,MusicMetricsVault.com
S' Agapo Giati Is Orea - Live,32801,4:05,1993-12-17,,MusicMetricsVault.com
Poso S' Agapo,32652,3:31,2004-01-01,,MusicMetricsVault.com
Umbrella,32292,4:27,2010-12-24,,MusicMetricsVault.com
Aftos Pou Perimeno - Anna's Dream Mix,32135,4:24,1997-11-07,,MusicMetricsVault.com
Fos,31957,4:25,2025-01-01,,MusicMetricsVault.com
Adika,31787,4:10,1991-02-07,,MusicMetricsVault.com
Stirixou Epano Mou,31759,4:48,2003-12-04,,MusicMetricsVault.com
San To Do Kai To Si,31393,4:14,2010-12-24,,MusicMetricsVault.com
Ligo Krasi Ligo Thalassa Ke T' Agori Mou,31252,2:56,2007-09-18,,MusicMetricsVault.com
S' Agapo Telia Ke Pavla,31236,3:26,1986-04-22,,MusicMetricsVault.com
Aftos Pou Perimeno - Disco In The House Mix,30795,2:27,1997-11-07,,MusicMetricsVault.com
Amin,30683,4:25,1995-09-18,,MusicMetricsVault.com
Den Ime Monahi (Wherever You Are Going),30584,2:55,2004-01-01,,MusicMetricsVault.com
Ti Apomeni,30440,4:45,2003-12-04,,MusicMetricsVault.com
Tilefonaki,30387,4:26,1998-04-01,,MusicMetricsVault.com
On A Night Like This,29976,3:54,2000-06-13,,MusicMetricsVault.com
Na 'Mouna Sta Heria Sou Karavi,29745,2:16,1980-04-01,,MusicMetricsVault.com
Me Agapi Apo Emena / De S' Allazo,29518,7:55,2025-01-01,,MusicMetricsVault.com
Erota Mou Apiste,29054,3:55,2005-09-26,,MusicMetricsVault.com
Mia Agapi Fotia,28932,3:15,2025-01-01,,MusicMetricsVault.com
Mia Agapi Fotia,28780,3:12,2002-04-26,,MusicMetricsVault.com
Agapa Me,28079,2:18,1985-01-10,,MusicMetricsVault.com
Aipnies,27858,4:17,2002-10-03,,MusicMetricsVault.com
Gia Tin Agapi Pes Mou,27838,2:27,1975-04-08,,MusicMetricsVault.com
Mia Nihta To Poli,27312,4:40,2012-04-16,,MusicMetricsVault.com
Lie - Radio Mix,27304,4:09,2007-07-30,,MusicMetricsVault.com
H Mousiki Tou Anemou,27175,4:31,2002-04-26,,MusicMetricsVault.com
Lambo - Live,26529,4:46,1993-12-17,,MusicMetricsVault.com
Pragmata - Live,26317,2:12,1993-12-17,,MusicMetricsVault.com
Sta '79,26314,3:04,2025-01-01,,MusicMetricsVault.com
Efimerides,26103,4:16,1989-03-24,,MusicMetricsVault.com
Ta Kalitera Mas Hronia,25102,4:57,2005-09-26,,MusicMetricsVault.com
Se Posa Tablo,24467,3:03,1986-04-22,,MusicMetricsVault.com
Houla Houp,24459,3:46,1989-03-24,,MusicMetricsVault.com
Den Thelo Na Xeris - Live,24418,6:50,1993-12-17,,MusicMetricsVault.com
Tifli Ebistosini - Remix,23835,4:27,2003-06-13,,MusicMetricsVault.com
Ma Itan Psemmata (Un Po Di Piu),23637,4:12,2006-04-17,,MusicMetricsVault.com
Ma Itan Psemata (Un Po Di Piu),23637,4:12,2004-01-01,,MusicMetricsVault.com
Is It Safe,23590,3:49,2007-07-30,,MusicMetricsVault.com
London,23534,4:49,1989-03-24,,MusicMetricsVault.com
Gia Sena Tha Pethano,22787,4:34,2005-09-26,,MusicMetricsVault.com
Krivame Tin Agapi Mas,22618,2:44,1975-10-01,,MusicMetricsVault.com
Pos Ta Ferni Etsi I Zoi,21876,3:47,2003-12-04,,MusicMetricsVault.com
Apo Makria Kai Agapimeni - Mixed,21713,1:16,2010-06-15,,MusicMetricsVault.com
Ipopsies,21269,2:50,1991-02-07,,MusicMetricsVault.com
Agapise Me,20882,2:45,1980-04-01,,MusicMetricsVault.com
Aima - Radio Edit,20584,3:22,2022-07-25,,MusicMetricsVault.com
Mono To Sex Den Ftani,20454,3:39,1988-06-23,,MusicMetricsVault.com
Adistrofi Metrisi - Live,20374,2:12,1993-12-17,,MusicMetricsVault.com
Everything - Valentino & Christodoulos Siganos Remix,20330,4:26,2006-03-31,,MusicMetricsVault.com
Giati Gelas Ke Pezis,20204,2:22,1975-10-01,,MusicMetricsVault.com
Giati Gelas,20204,2:21,2004-01-01,,MusicMetricsVault.com
Paragrafos 62,19503,4:40,1995-09-18,,MusicMetricsVault.com
Ne,19451,3:36,1992-05-28,,MusicMetricsVault.com
Treno - Mixed,19412,2:11,2005-11-09,,MusicMetricsVault.com
Horis Esena Ego Den Kano,19230,3:01,2006-04-17,,MusicMetricsVault.com
Aima - Extended Mix,18900,3:54,2022-07-25,,MusicMetricsVault.com
Triada Ke Vale,18832,5:17,1995-09-18,,MusicMetricsVault.com
Proti Fora,18739,2:45,1982-12-17,,MusicMetricsVault.com
Lie - Alex Papaconstantinou Club Edit,18724,3:39,2005-09-26,,MusicMetricsVault.com
Mi Vazis Mavro,18493,2:47,1975-05-22,,MusicMetricsVault.com
Akoma Mia - Live,18490,3:17,1993-12-17,,MusicMetricsVault.com
Stalia Stalia - Live,18393,2:41,1993-12-17,,MusicMetricsVault.com
Efta Tragoudia Tha Sou Po - Live,18367,1:26,1993-12-17,,MusicMetricsVault.com
Eho Tosi Agapi,18253,4:05,2005-09-26,,MusicMetricsVault.com
Zoi Na Ehoume,17900,2:59,1984-03-14,,MusicMetricsVault.com
Anna,17891,3:07,2025-01-01,,MusicMetricsVault.com
Still In Love With You,17751,3:51,2000-06-13,,MusicMetricsVault.com
Gi' Afto Sou Leo Mi,17525,2:22,1993-06-01,,MusicMetricsVault.com
Vres Ton Tropo,17519,3:37,2002-02-04,,MusicMetricsVault.com
S' Agapo - Live,17509,1:42,1993-12-17,,MusicMetricsVault.com
Me Agapi Apo Mena Gia Sena - Live,17010,1:34,1993-12-17,,MusicMetricsVault.com
Aima - Radio Edit,17000,3:45,2022-07-25,,MusicMetricsVault.com
1988 Ki Akoma S'Agapo,16799,5:23,1988-06-23,,MusicMetricsVault.com
Ti Eho Na Haso,16765,3:53,1985-01-10,,MusicMetricsVault.com
Kapnizo,16570,5:35,1989-12-07,,MusicMetricsVault.com
Ta Matia Ta Dika Mou,16539,2:60,2004-01-01,,MusicMetricsVault.com
Ti Mou Kanis,16534,3:18,1989-12-07,,MusicMetricsVault.com
Ellada,16498,3:23,1992-05-28,,MusicMetricsVault.com
Ise Oti Pio Agapimeno Eho,16437,3:21,1992-12-24,,MusicMetricsVault.com
Telia,16168,4:37,2005-09-26,,MusicMetricsVault.com
Dilina - Live,16129,1:06,1993-12-17,,MusicMetricsVault.com
Mi Me Lipithis,16088,5:39,2005-09-26,,MusicMetricsVault.com
Vaterlo - Mixed,15970,0:31,2005-11-09,,MusicMetricsVault.com
Psidri Vasilitzia Mou,15917,3:24,1995-07-20,,MusicMetricsVault.com
Ime I Anna,15829,2:47,1984-03-14,,MusicMetricsVault.com
Sta Hronia Tis Ipomonis - Live,15796,2:08,1993-12-17,,MusicMetricsVault.com
Ela,15794,4:11,1984-03-14,,MusicMetricsVault.com
Ena Sou Leo - Live,15612,2:60,1993-12-17,,MusicMetricsVault.com
Sti Pira,15467,1:40,2009-12-25,,MusicMetricsVault.com
Tesera Tzia Tesera,15425,5:13,1995-07-20,,MusicMetricsVault.com
M' Agapas,15422,2:26,2002-02-04,,MusicMetricsVault.com
Kles Esi Ke Pono (Je Reviens Te Chercher),15349,2:34,2004-01-01,,MusicMetricsVault.com
Roula Mou Maroula Mou,15272,3:37,1995-07-20,,MusicMetricsVault.com
Tyraniemai - Alex Leon Club Mix,15204,5:38,2012-09-21,,MusicMetricsVault.com
Klaio,15188,3:04,2019-01-17,,MusicMetricsVault.com
Gia Ena Oniro Zoume,15166,3:42,2002-04-26,,MusicMetricsVault.com
Fos - Live,14849,2:03,1993-12-17,,MusicMetricsVault.com
Min Stenahoriese - Remastered,14831,2:16,2006-03-30,,MusicMetricsVault.com
Perimeno Tilefonima Sou,14729,2:55,1991-02-07,,MusicMetricsVault.com
Oso Eho Foni - Immaculate Club Mix,14588,3:22,1997-11-07,,MusicMetricsVault.com
"As Min Poume Tipota - From ""Oi Kampanes Tou Edelvais""",14586,4:14,2015-04-24,,MusicMetricsVault.com
Thelo Mono Esena,14496,2:34,2006-04-17,,MusicMetricsVault.com
Oute Ena S' Agapo,14484,2:15,1975-10-01,,MusicMetricsVault.com
Fotia - Live,14459,1:49,1993-12-17,,MusicMetricsVault.com
Xehnas,14421,3:08,1991-02-07,,MusicMetricsVault.com
San Ke Mena Kamia - Live,14405,1:50,1993-12-17,,MusicMetricsVault.com
Emis - Live,14321,2:46,1993-12-17,,MusicMetricsVault.com
Ela Na Zisoume,14156,3:08,2004-01-01,,MusicMetricsVault.com
I Hadres - Live,13755,1:18,1993-12-17,,MusicMetricsVault.com
San Ta Pinasmena Peristeria,13475,2:38,1975-10-01,,MusicMetricsVault.com
Pikre Mou,13323,3:42,1992-12-24,,MusicMetricsVault.com
Anthropino To Lathos Mou,13312,3:02,1984-03-14,,MusicMetricsVault.com
Kalitera Na Poume Antio,13264,2:34,1984-03-14,,MusicMetricsVault.com
Kick The Habit,13212,4:44,2000-06-13,,MusicMetricsVault.com
Se Thelo Me Thelis - Mixed,13148,1:13,2005-11-09,,MusicMetricsVault.com
Ime - Live,12744,1:57,1993-12-17,,MusicMetricsVault.com
Welcome To The Party,12679,3:01,2006-04-27,,MusicMetricsVault.com
I Kiklades,12586,3:52,1990-06-13,,MusicMetricsVault.com
To Tragoudi Tou Gamou,12481,4:16,1995-07-20,,MusicMetricsVault.com
Se Hriazome - Live,12432,4:27,1993-12-17,,MusicMetricsVault.com
Kati Simveni,12375,4:07,1985-01-10,,MusicMetricsVault.com
To Pallikari,12355,3:16,1974-05-16,,MusicMetricsVault.com
Agapisa Ton Pou Karkias,12305,3:46,1995-07-20,,MusicMetricsVault.com
Milise Mou,12270,2:53,2004-01-01,,MusicMetricsVault.com
Gia Sas Triadafilla,12210,2:51,2006-03-25,,MusicMetricsVault.com
Agapi Ke Misos,12174,4:38,1986-04-22,,MusicMetricsVault.com
Mono Gia Senane,12161,4:04,1984-03-14,,MusicMetricsVault.com
Forgive Me This,12154,4:08,2000-06-13,,MusicMetricsVault.com
Ma Den Fovame,12139,3:08,2004-01-01,,MusicMetricsVault.com
Min Xehnas,11941,4:48,2019-01-17,,MusicMetricsVault.com
Den Me Agapas - Mixed,11880,1:02,2005-11-09,,MusicMetricsVault.com
Dodeka - Live,11843,5:33,2021-12-23,,MusicMetricsVault.com
I Was Made For Lovin' You,11785,3:34,2000-06-13,,MusicMetricsVault.com
I Nikimeni Imaste Emis,11681,3:21,2002-02-04,,MusicMetricsVault.com
So In Love With Yourself,11654,3:32,2000-06-13,,MusicMetricsVault.com
Mono Ena Thavma,11572,3:23,1991-02-07,,MusicMetricsVault.com
Amore,11566,2:36,1989-03-24,,MusicMetricsVault.com
Protimo Na Pethaino - Petros Karras & DJ Pico Remix,11522,3:17,2016-11-28,,MusicMetricsVault.com
Diki Sou,11493,3:48,1984-03-14,,MusicMetricsVault.com
Aima - Extended Mix,11406,6:16,2022-07-25,,MusicMetricsVault.com
Hanome,11388,3:08,2004-06-15,,MusicMetricsVault.com
Kathe Limani Ke Kaimos - Live,11225,1:27,1993-12-17,,MusicMetricsVault.com
Skandali,11113,3:26,1988-06-23,,MusicMetricsVault.com
Mono Mia Nihta,11037,4:25,1988-06-23,,MusicMetricsVault.com
Ke Se Girevo,10932,3:29,1985-01-10,,MusicMetricsVault.com
Melagholies,10929,4:09,1995-09-18,,MusicMetricsVault.com
Xanazo,10917,3:23,2004-01-01,,MusicMetricsVault.com
M' Agapouse Pou Les,10879,2:29,1984-03-14,,MusicMetricsVault.com
To Allo Mou Ego,10860,4:21,1995-09-18,,MusicMetricsVault.com
I Mousiki Tou Anemou - Instrumental,10714,4:32,2002-04-26,,MusicMetricsVault.com
Na 'Tan Mia Nihta I Zoi,10678,2:16,1984-03-14,,MusicMetricsVault.com
O! Maria,10592,2:25,1980-04-01,,MusicMetricsVault.com
S' Agapo - Live,10552,3:17,1993-12-17,,MusicMetricsVault.com
Oti Thes Ego - Live,10423,2:11,1993-12-17,,MusicMetricsVault.com
Onirodemeno - Live,10263,0:56,1993-12-17,,MusicMetricsVault.com
Way Out,10215,4:45,2000-06-13,,MusicMetricsVault.com
O Kos Nobel,10154,2:58,1980-04-01,,MusicMetricsVault.com
M' Agapouses Kapou Kapou - Remastered,10126,2:38,2006-03-25,,MusicMetricsVault.com
Demones Rock Opera - Part 1,9917,4:43,1991-03-14,,MusicMetricsVault.com
Pali Horizoume,9887,3:39,1985-01-10,,MusicMetricsVault.com
Tha Ekana Otidipote,9690,4:19,1992-05-28,,MusicMetricsVault.com
Sou 'Dosa Na Piis,9565,3:03,1993-06-01,,MusicMetricsVault.com
Kladi Rodias,9461,3:07,2004-01-01,,MusicMetricsVault.com
Voithia,9316,3:23,1989-12-07,,MusicMetricsVault.com
Prosefhi - Mixed,9284,1:38,2005-11-09,,MusicMetricsVault.com
Se Lipame,9276,3:16,2006-04-17,,MusicMetricsVault.com
Ki Omos Ehis Figi,9184,3:39,1985-01-10,,MusicMetricsVault.com
Girna Moro Mou,9118,2:59,1992-05-28,,MusicMetricsVault.com
Chronia Polla - Remix,9000,4:07,2003-06-13,,MusicMetricsVault.com
I Can't Sleep at Night,8959,5:03,2019-01-17,,MusicMetricsVault.com
As Kanoume Apopse Mia Arhi - Live,8918,2:20,1993-12-17,,MusicMetricsVault.com
Demones Rock Opera - Part 4,8889,18:30,1991-03-14,,MusicMetricsVault.com
Zavarakatranemia - Live,8833,3:48,2017-04-14,,MusicMetricsVault.com
Apagorevmeno - DJ Matheos' Latin Flava Dance Mix,8816,7:12,2010-07-12,,MusicMetricsVault.com
Ta rialia - Live,8773,2:13,2017-04-14,,MusicMetricsVault.com
Ti Ta Thelis Lipon - Remastered,8753,2:37,2006-03-30,,MusicMetricsVault.com
File Mou - Mixed,8599,0:44,2005-11-09,,MusicMetricsVault.com
Otan Tharthis,8594,3:53,1985-01-10,,MusicMetricsVault.com
Oti Ki An Pis,8548,4:08,1985-01-10,,MusicMetricsVault.com
Tote Tha Figo - Remastered,8507,2:41,2006-03-30,,MusicMetricsVault.com
Zoi Sinehizete,8492,3:42,1991-02-07,,MusicMetricsVault.com
Kapou Nihtoni - Live,8482,2:27,1993-12-17,,MusicMetricsVault.com
Xanagirna,8473,3:25,1992-12-24,,MusicMetricsVault.com
Mi,8382,3:42,1992-12-24,,MusicMetricsVault.com
Fabulous - Mixed,8379,1:58,2010-06-15,,MusicMetricsVault.com
Mesa Sou,8080,4:21,1992-05-28,,MusicMetricsVault.com
Crush,8034,3:48,2019-01-17,,MusicMetricsVault.com
I Diadilosi,7995,5:07,1995-09-18,,MusicMetricsVault.com
Na 'Hes Kardia,7965,3:54,1984-03-14,,MusicMetricsVault.com
Pikre Mou - Live,7842,3:33,1993-12-17,,MusicMetricsVault.com
Agapi Mou - Remastered,7817,2:57,2006-03-30,,MusicMetricsVault.com
Krivame Tin Agapi Mas - Live,7705,1:29,1993-12-17,,MusicMetricsVault.com
Efta Zoes,7609,3:16,1995-09-18,,MusicMetricsVault.com
Demones Rock Opera - Part 2,7604,8:06,1991-03-14,,MusicMetricsVault.com
I Varka,7550,7:29,1995-09-18,,MusicMetricsVault.com
Ego De Hanomai Pote Mou,7513,2:44,1982-12-17,,MusicMetricsVault.com
The Only Arms We Need,7509,3:51,2019-01-17,,MusicMetricsVault.com
Ti Me Rotas (That Certain Feeling) - Remastered,7507,2:20,2006-03-25,,MusicMetricsVault.com
Tertin Tis Kartoulas Mou,7396,3:19,1995-07-20,,MusicMetricsVault.com
Mi Me Rotas,7370,3:13,1984-03-14,,MusicMetricsVault.com
Ligna Koritsia,7178,2:23,1974-02-24,,MusicMetricsVault.com
San Dolofonos Maniakos,7149,5:10,1989-03-24,,MusicMetricsVault.com
Diskolos Keros - Remastered,7106,2:16,2006-03-30,,MusicMetricsVault.com
Alimono Alimono - Mixed,7099,0:48,2005-11-09,,MusicMetricsVault.com
Great Zeus,7046,2:24,2019-01-17,,MusicMetricsVault.com
Apo 'Do Ki Apo 'Ki,6966,2:56,2006-03-25,,MusicMetricsVault.com
Apo Do Ki Apo Ki,6966,2:56,1993-06-01,,MusicMetricsVault.com
Ki Omos Den Telioni - Live,6896,4:01,2021-12-23,,MusicMetricsVault.com
Ikosi Hronia,6816,4:31,1995-07-20,,MusicMetricsVault.com
Na I Zoi (Late At Night) - Remastered,6679,2:57,2006-03-25,,MusicMetricsVault.com
Opou Ke Na Pas,6604,3:45,1992-12-24,,MusicMetricsVault.com
Demones Rock Opera - Part 6,6436,2:42,1991-03-14,,MusicMetricsVault.com
Kegete O Kosmos Kegete - Remastered,6390,2:54,2006-03-25,,MusicMetricsVault.com
Demones Rock Opera - Part 3,6386,2:42,1991-03-14,,MusicMetricsVault.com
A Beautiful Night,6362,3:01,2006-04-27,,MusicMetricsVault.com
Venzini - Alex Leon Dubster Mix,6350,3:58,2012-09-21,,MusicMetricsVault.com
Agapes,6269,2:53,1982-12-17,,MusicMetricsVault.com
Pali,6097,2:39,1982-12-17,,MusicMetricsVault.com
After You,6061,4:57,2000-06-13,,MusicMetricsVault.com
O! Erota,6025,3:41,2002-04-26,,MusicMetricsVault.com
I Agapi Sou Sholio,5994,2:18,2002-02-04,,MusicMetricsVault.com
Mia Mikri Psihoula,5944,3:06,1980-04-01,,MusicMetricsVault.com
Gia Ena Lepto - DJ Matheos's Sunshine Remix,5936,5:30,2010-07-12,,MusicMetricsVault.com
Fraou Smit,5820,1:05,2002-04-26,,MusicMetricsVault.com
Demones Rock Opera - Part 17,5810,3:00,1991-03-14,,MusicMetricsVault.com
An Toulahiston - Remastered,5779,2:50,2006-03-30,,MusicMetricsVault.com
Ke Si Milas - Remastered,5719,2:22,2006-03-30,,MusicMetricsVault.com
To Palio T' Aeroplano,5669,2:57,1980-04-01,,MusicMetricsVault.com
Savvatiatika,5576,2:42,2006-03-25,,MusicMetricsVault.com
Prasini Mera,5520,2:15,1974-02-24,,MusicMetricsVault.com
Fones,5460,3:30,2002-04-26,,MusicMetricsVault.com
Ah Den M' Agapas,5459,3:12,1982-12-17,,MusicMetricsVault.com
Thelo,5417,2:35,2006-03-25,,MusicMetricsVault.com
Nikisame,5380,3:42,2006-03-25,,MusicMetricsVault.com
Ohi,5325,4:30,1989-03-24,,MusicMetricsVault.com
