No,_key,title,plays,duration,release_date,cover_url
1,1988 ki akoma s'agapo|323,1988 Ki Akoma S'Agapo,17724.0,5:23,1988-06-28,https://i.scdn.co/image/ab67616d00001e0235ea6e4b84aab9e468c0b007
2,a beautiful night|181,A Beautiful Night,6670.0,3:01,2006-04-27,https://i.scdn.co/image/ab67616d00001e025f53fb746df6aa43779c809e
3,aaa aaa (ke horisame)|181,Aaa Aaa (Ke Horisame),157555.0,3:01,2000-11-16,https://i.scdn.co/image/ab67616d00001e022f038cc4ad078bf55ed8c2a5
4,adika|250,Adika,35462.0,4:10,1991-02-14,https://i.scdn.co/image/ab67616d00001e0294e085b2ede4f62a20f60820
5,adikos o horismos mas|193,Adikos O Horismos Mas,4918.0,3:13,1982-12-17,https://i.scdn.co/image/ab67616d00001e02d88d7bedbfbd881b07f3f89f
6,adistrofi metrisi - live|132,Adistrofi Metrisi - Live,20941.0,2:12,1993-12-17,https://i.scdn.co/image/ab67616d00001e0212e44acc3e380f6fa9cd0446
7,adistrofi metrisi|240,Adistrofi Metrisi,1260109.0,4:00,1984-03-14,https://i.scdn.co/image/ab67616d0000b2739af901b9d9530c01a829a585
8,afixi sto aousvits - instrumental|102,Afixi Sto Aousvits - Instrumental,1939.0,1:42,2002-04-26,https://i.scdn.co/image/ab67616d00001e02b8576e13c95219ae8e9a0a18
9,afou|287,Afou,66749.0,4:47,2017-11-07,https://i.scdn.co/image/ab67616d00001e0266d4ff48ff0e9581568369a1
10,after you|297,After You,6847.0,4:57,2000-06-13,https://i.scdn.co/image/ab67616d00001e0255c69d02a37edefde7c5a8ce
11,afti ti fora - live|360,Afti Ti Fora - Live,17064.0,5:60,2025-12-23,https://i.scdn.co/image/ab67616d00001e0291e1a94d45bd2cc1a0e8e518
12,afti ti fora|376,Afti Ti Fora,353015.0,6:16,2000-11-16,https://i.scdn.co/image/ab67616d00001e022f038cc4ad078bf55ed8c2a5
13,aftos pou perimeno - anna's dream mix|264,Aftos Pou Perimeno - Anna's Dream Mix,32564.0,4:24,1997-11-07,https://i.scdn.co/image/ab67616d00001e0235c3c159825c6c895d064586
14,aftos pou perimeno - disco in the house mix|147,Aftos Pou Perimeno - Disco In The House Mix,32062.0,2:27,1997-11-07,https://i.scdn.co/image/ab67616d00001e0235c3c159825c6c895d064586
15,aftos pou perimeno - live version|29,Aftos Pou Perimeno - Live Version,1033.0,0:29,1984-03-14,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
16,aftos pou perimeno|149,Aftos Pou Perimeno,773111.0,2:29,1993-06-01,https://i.scdn.co/image/ab67616d00001e020b0cc51415d4ad57f6c6c9d6
17,aftoshediasmos - live version|177,Aftoshediasmos - Live Version,41691.0,2:57,2005-01-27,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
18,agapa me (abrazame) - live version|90,Agapa Me (Abrazame) - Live Version,77333.0,1:30,2005-01-27,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
19,agapa me|138,Agapa Me,28663.0,2:18,1985-01-10,https://i.scdn.co/image/ab67616d00001e025f20f2f63fe64bfe775da003
20,agapes|173,Agapes,6581.0,2:53,1982-12-17,https://i.scdn.co/image/ab67616d00001e02d88d7bedbfbd881b07f3f89f
21,agapi einai esy - hotel ermou live version|37,Agapi Einai Esy - Hotel Ermou Live Version,680152.0,0:37,2018-07-23,https://i.scdn.co/image/ab67616d00001e0258a2973daf4f31ec68e53ce9
22,agapi ine esi|251,Agapi Ine Esi,802497.0,4:11,2010-11-01,https://i.scdn.co/image/ab67616d00001e024ac13d5da9b353fd4e6ab919
23,agapi ine|248,Agapi Ine,529430.0,4:08,2005-09-26,https://i.scdn.co/image/ab67616d00001e027378ccb9d3a30519e6335e07
24,agapi ipervoliki (outro) - live|104,Agapi Ipervoliki (Outro) - Live,7494.0,1:44,2025-12-23,https://i.scdn.co/image/ab67616d00001e0291e1a94d45bd2cc1a0e8e518
25,agapi ipervoliki - live version|357,Agapi Ipervoliki - Live Version,137985.0,5:57,2005-01-27,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
26,agapi ipervoliki|290,Agapi Ipervoliki,4295617.0,4:50,2000-11-16,https://i.scdn.co/image/ab67616d00001e022f038cc4ad078bf55ed8c2a5
27,agapi ke misos|278,Agapi Ke Misos,12732.0,4:38,1986-04-22,https://i.scdn.co/image/ab67616d00001e0265c697e7b6b91a77ace8b7b2
28,agapi mou - remastered|177,Agapi Mou - Remastered,8028.0,2:57,2006-03-30,https://i.scdn.co/image/ab67616d00001e02ef7a44a6675dfe98f00922c9
29,agapi ypervoliki - 2023 version|203,Agapi Ypervoliki - 2023 Version,672334.0,3:23,2022-12-23,https://i.scdn.co/image/ab67616d00001e0235075122c25f7c290f1a676c
30,agapi ypervoliki - hotel ermou live version|95,Agapi Ypervoliki - Hotel Ermou Live Version,1008932.0,1:35,2018-07-23,https://i.scdn.co/image/ab67616d00001e0258a2973daf4f31ec68e53ce9
31,agapi ypervoliki - live|288,Agapi Ypervoliki - Live,28860.0,4:48,2025-12-23,https://i.scdn.co/image/ab67616d00001e0291e1a94d45bd2cc1a0e8e518
32,agapisa ton pou karkias|226,Agapisa Ton Pou Karkias,12693.0,3:46,1995-07-24,https://i.scdn.co/image/ab67616d00001e024d55039ddd94bdc5884066c7
33,agapise me|165,Agapise Me,21602.0,2:45,1980-04-01,https://i.scdn.co/image/ab67616d00001e020b0cc51415d4ad57f6c6c9d6
34,agapoula mou - hotel ermou live version|127,Agapoula Mou - Hotel Ermou Live Version,179195.0,2:07,2018-07-23,https://i.scdn.co/image/ab67616d00001e0258a2973daf4f31ec68e53ce9
35,agapoula mou|208,Agapoula Mou,655578.0,3:28,2000-11-16,https://i.scdn.co/image/ab67616d00001e022f038cc4ad078bf55ed8c2a5
36,agoni grammi|254,Agoni Grammi,35164.0,4:14,1996-02-29,https://i.scdn.co/image/ab67616d00001e022abb79908fe729496b83a191
37,ah den m' agapas|192,Ah Den M' Agapas,5836.0,3:12,1982-12-17,https://i.scdn.co/image/ab67616d00001e02d88d7bedbfbd881b07f3f89f
38,ahoristoi - give in to me|197,Ahoristoi - Give In to Me,49460.0,3:17,2015-11-30,https://i.scdn.co/image/ab67616d00001e02b0f3e9716968614adad15b00
39,aima - antonis dimitriadis remix|180,Aima - Antonis Dimitriadis Remix,125812.0,2:60,2022-07-18,https://i.scdn.co/image/ab67616d00001e02891096483ec406d440b2b9ae
40,aima - extended mix|234,Aima - Extended Mix,19165.0,3:54,2022-07-25,https://i.scdn.co/image/ab67616d00001e021366eb3439e7e5a7dc43fed6
41,aima - extended mix|376,Aima - Extended Mix,11553.0,6:16,2022-07-25,https://i.scdn.co/image/ab67616d00001e021c5a73fce8260da1c5f19366
42,aima - live|212,Aima - Live,17597.0,3:32,2025-12-23,https://i.scdn.co/image/ab67616d00001e0291e1a94d45bd2cc1a0e8e518
43,aima - radio edit|202,Aima - Radio Edit,20832.0,3:22,2022-07-25,https://i.scdn.co/image/ab67616d00001e021366eb3439e7e5a7dc43fed6
44,aima - radio edit|225,Aima - Radio Edit,17213.0,3:45,2022-07-25,https://i.scdn.co/image/ab67616d00001e021c5a73fce8260da1c5f19366
45,aima|209,Aima,9125518.0,3:29,2022-05-30,https://i.scdn.co/image/ab67616d00001e02dafcec9ea3e0a082230a81f2
46,aipnies|257,Aipnies,29119.0,4:17,2002-10-10,https://i.scdn.co/image/ab67616d00001e02b6abec5528a11ae2450385c1
47,akoma mia - hotel ermou live version|109,Akoma Mia - Hotel Ermou Live Version,140357.0,1:49,2018-07-23,https://i.scdn.co/image/ab67616d00001e0258a2973daf4f31ec68e53ce9
48,akoma mia - live|197,Akoma Mia - Live,19126.0,3:17,1993-12-17,https://i.scdn.co/image/ab67616d00001e0212e44acc3e380f6fa9cd0446
49,akoma mia|291,Akoma Mia,202569.0,4:51,1992-12-24,https://i.scdn.co/image/ab67616d00001e02ec8882aba54284ba0cf8e1fd
50,akomi ena vradi edo|223,Akomi Ena Vradi Edo,3382.0,3:43,2002-04-26,https://i.scdn.co/image/ab67616d00001e02b8576e13c95219ae8e9a0a18
51,alimono alimono - mixed|48,Alimono Alimono - Mixed,7099.0,0:48,2005-11-09,https://i.scdn.co/image/ab67616d0000b27358a45a966c0c09b8b5371b8d
52,alitissa psihi|271,Alitissa Psihi,422068.0,4:31,2008-12-09,https://i.scdn.co/image/ab67616d00001e0293ae850db2b4228fe4977dab
53,allimono allimono - live version|55,Allimono Allimono - Live Version,53567.0,0:55,2005-01-27,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
54,ama thes na klapsis klapse - live version|78,Ama Thes Na Klapsis Klapse - Live Version,57325.0,1:18,2005-01-27,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
55,amin|265,Amin,31657.0,4:25,1995-09-18,https://i.scdn.co/image/ab67616d00001e029b1659f5770ea89cfad1f157
56,amore|156,Amore,12082.0,2:36,1989-03-24,https://i.scdn.co/image/ab67616d00001e02feb9079b2827195dbd9c7994
57,an s' erotefto|209,An S' Erotefto,109549.0,3:29,2008-12-09,https://i.scdn.co/image/ab67616d00001e0293ae850db2b4228fe4977dab
58,an toulahiston - remastered|170,An Toulahiston - Remastered,6006.0,2:50,2006-03-30,https://i.scdn.co/image/ab67616d00001e02ef7a44a6675dfe98f00922c9
59,anakohi|260,Anakohi,67467.0,4:20,2008-12-09,https://i.scdn.co/image/ab67616d00001e0293ae850db2b4228fe4977dab
60,anna|187,Anna,20132.0,3:07,2025-01-01,https://i.scdn.co/image/ab67616d00001e0289b564940e7d0488251cf51e
61,anthropino to lathos mou|182,Anthropino To Lathos Mou,14419.0,3:02,1984-03-14,https://i.scdn.co/image/ab67616d00001e02748dabd792ec65b630b3015e
62,antidoto - hotel ermou live version|185,Antidoto - Hotel Ermou Live Version,181795.0,3:05,2018-07-23,https://i.scdn.co/image/ab67616d00001e0258a2973daf4f31ec68e53ce9
63,antidoto - live version|54,Antidoto - Live Version,77953.0,0:54,2005-01-27,https://i.scdn.co/image/ab67616d00001e021f1ac446c500bab767932f58
64,antidoto|281,Antidoto,325644.0,4:41,1998-04-01,https://i.scdn.co/image/ab67616d00001e02ef7de8aeb8507a7c7990668f
65,antistrofi metrisi - hotel ermou live version|176,Antistrofi Metrisi - Hotel Ermou Live Version,477997.0,2:56,2018-07-23,https://i.scdn.co/image/ab67616d00001e0258a2973daf4f31ec68e53ce9
